id,type,size,category
SRTG,stock,,
PZZA,stock,,
KBLV,stock,,
NEST,stock,,
ITMA,stock,,
CPRI,stock,,
BMSR,stock,,
PTSP,stock,,
BEER,stock,,
SIPD,stock,,
MTWI,stock,,
TBIG,stock,,
POSA,stock,,
PYFA,stock,,
DGIK,stock,,
INDX,stock,,
EMAS,stock,,
MIRA,stock,,
PPRO,stock,,
MLPT,stock,,
SRAJ,stock,,
BBSI,stock,,
IGAR,stock,,
ZONE,stock,,
LTLS,stock,,
PRDA,stock,,
SAFE,stock,,
NIKL,stock,,
NINE,stock,,
RIMO,stock,,
APLN,stock,,
INPS,stock,,
DADA,stock,,
BMHS,stock,,
TAMA,stock,,
AMAG,stock,,
DGNS,stock,,
PTBA,stock,,
MICE,stock,,
BBYB,stock,,
SCCO,stock,,
TPIA,stock,,
NATO,stock,,
COCO,stock,,
KDSI,stock,,
IIKP,stock,,
MKPI,stock,,
MDKA,stock,,
AMAR,stock,,
HEAL,stock,,
NCKL,stock,,
MYOR,stock,,
AKRA,stock,,
DEPO,stock,,
CFIN,stock,,
HALO,stock,,
BANK,stock,,
ADMG,stock,,
JIHD,stock,,
BMBL,stock,,
ARKO,stock,,
NUSA,stock,,
GULA,stock,,
SRIL,stock,,
BUMI,stock,,
RODA,stock,,
SMGR,stock,,
KOTA,stock,,
BKSW,stock,,
ELSA,stock,,
SHIP,stock,,
POLA,stock,,
JSPT,stock,,
GSMF,stock,,
LEAD,stock,,
VIVA,stock,,
POLI,stock,,
PPRE,stock,,
DUCK,stock,,
BTEK,stock,,
GUNA,stock,,
GEMS,stock,,
UCID,stock,,
KOBX,stock,,
GGRP,stock,,
KOIN,stock,,
BVIC,stock,,
WOOD,stock,,
POLU,stock,,
EDGE,stock,,
TOTL,stock,,
ELTY,stock,,
MNCN,stock,,
MEGA,stock,,
NASI,stock,,
MSIN,stock,,
CTRA,stock,,
ASSA,stock,,
BALI,stock,,
LPKR,stock,,
JPFA,stock,,
BCIP,stock,,
AYLS,stock,,
BGTG,stock,,
JMAS,stock,,
