source,target,pct,value_idr
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,BCIP,1.26,1260000000.0
PT ASKAR PELANGI ABADI,BCIP,1.07,1071000000.0
"UBS AG, LONDON",BDMN,1.64,406430736540.0
PT PENDANAAN EFEK INDONESIA,BEBS,5.72,12865823800.0
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,BEBS,3.99,8981362500.0
SAFARI ASIA LIMITED,BEEF,1.7,32844000000.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,BEER,4.45,22953447300.0
REKSA DANA SUCORINVEST EQUITY FUND,BEER,3.5,18082342800.0
PT DWIMURIA INVESTAMA ANDALAN,BELI,4.8,2701415453400.0
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,BEST,2.25,22768441500.0
"PANIN SEKURITAS Tbk, PT",BEST,1.51,15325065000.0
DRS LO KHENG HONG,BEST,1.34,13606950000.0
PANGOLIN INV MANAG PTE LTD-PANGOLIN ASIA FUND,BFIN,2.31,246805727000.0
JONATHAN CHANG,BFIN,2.08,222171141000.0
UOB KAY HIAN PRIVATE LIMITED,BGTG,5.79,155490193600.0
PT SATYA MULIA GEMA GEMILANG,BGTG,3.3,88610487616.0
PHILLIP SECURITIES PTE LTD,BGTG,1.8,48375040000.0
"PACIFIC LIFE INSURANCE, PT",BHAT,4.85,340557950000.0
EASTERN PEAK GROUP CORPORATION,BHAT,4.13,290183080000.0
"TIRTA CITRA SOLUSI, PT",BHAT,2.96,207627387500.0
PT. ALANA CIPTA SELARAS,BHAT,2.89,202741078500.0
"CAPITAL LIFE INDONESIA, PT",BHAT,2.4,168642150000.0
PT ZED UTAMA PERSADA,BHAT,2.26,159066794000.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,BHAT,1.91,134279222000.0
PT. MEGAH ANGKASA PERKASA,BHAT,1.58,111032373000.0
PT. CAPITAL ASSET MANAGEMENT,BHAT,1.11,77935350000.0
REKSA DANA SUCORINVEST EQUITY FUND,BHAT,1.03,72628665000.0
RELIANCEVER HOLDINGS INC,BHIT,4.21,119706552867.0
UOB KAY HIAN (HONG KONG) LTD,BHIT,2.14,60779343900.0
LIE EFFENDI HARSONO,BHIT,2.06,58575000000.0
PT. MNC ASIA HOLDING TBK,BHIT,1.8,51135659718.0
RUDY SUSANTO,BIKA,4.75,1547331500.0
PT. INDOLIFE PENSIONTAMA,BINA,22.83,6023572663600.0
UOB KAY HIAN PRIVATE LIMITED,BINA,16.86,4447991165000.0
PT ASURANSI JIWA CENTRAL ASIA RAYA,BINA,7.3,1925014110000.0
PT ASURANSI CENTRAL ASIA,BINA,1.29,339565840000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BIPI,12.71,1457130618000.0
PT BAKRIE CAPITAL INDONESIA,BIPI,6.0,688071564000.0
PT. KB VALBURY SEKURITAS,BIPI,4.94,567000000000.0
PT DANATAMA KAPITAL INVESTAMA,BIPI,3.66,419464728000.0
KINGSWOOD UNION CORPORATION,BIPI,3.62,415107978480.0
INTERVENTURES CAPITAL PTE. LTD,BIPI,3.35,384067620000.0
ASURANSI SIMAS JIWA,BIPI,2.64,302684128560.0
MORGAN STANLEY AND CO INTERNATIONAL PLC,BIPI,1.96,225003780000.0
BARCLAYS CAPITAL SECURITIES LIMITED,BIPI,1.3,148915548000.0
PT. Victoria Investama Tbk,BIPP,11.4,32102952000.0
SUZANNA TANOJO,BIPP,4.42,12453449680.0
PT. BINTANG MITRA SEMESTARAYA TBK,BIPP,2.22,6263600000.0
PT Prolestari Megapersada,BIPP,1.79,5028800000.0
HONKY HARJO,BIRD,1.06,43563219000.0
UBS AG SINGAPORE BRANCH,BISI,5.3,131950910000.0
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,BISI,5.09,126727305000.0
CITIBANK HONG KONG S/A PBG CLIENTS SG,BISI,4.92,122425000000.0
DEUTSCHE BK AG (PRIVATE BANKING) SPORE WM CLIENT,BISI,4.88,121429000000.0
LGT BANK AG,BISI,4.65,115667555000.0
UBS AG HONG KONG,BISI,2.07,51559185000.0
UOB KAY HIAN PRIVATE LIMITED,BISI,1.47,36639603000.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,BJBR,4.08,347869809000.0
PT. ASURANSI JIWA IFG,BJBR,3.15,268648974000.0
PT TASPEN (PERSERO),BJBR,1.92,163404621000.0
PT TASPEN (PERSERO),BJTM,2.76,236267679000.0
IEVAN DANIAR SUMAMPOW,BKDP,4.58,19274145352.0
ENDANG LESTARI PUJIASTUTI,BKDP,1.91,8033162592.0
PT SAMUEL SEKURITAS INDONESIA,BKSL,5.56,1044877092448.0
GOVERNMENT OF NORWAY,BKSL,1.16,217665616000.0
UOB KAY HIAN PRIVATE LIMITED,BKSW,3.06,62325545866.0
DRS SURONO SUBEKTI,BLOG,1.03,13281608000.0
Resources Fortune LTD,BLTA,3.79,41071698841.0
REKSA DANA PANIN DANA MAKSIMA,BLTA,1.87,20245840500.0
HAIYANTO,BLTA,1.51,16385111300.0
BANK OF SINGAPORE LIMITED,BLTA,1.41,15236877828.0
HAIYANTO,BMBL,4.22,1349045600.0
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,BMHS,1.22,19958493000.0
PT DANANTARA ASSET MANAGEMENT (PERSERO),BMRI,51.48,226786560004720.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BMRI,1.33,5863376689280.0
EMPLOYEES PROVIDENT FUND BOARD,BMRI,1.26,5546716968000.0
"PANINVEST TBK, PT",BMSR,4.49,15912000000.0
SUZANNA TANOJO,BMSR,3.54,12563595000.0
DANA PENSIUN KARYAWAN PANIN BANK,BMSR,3.2,11367900000.0
PT. Victoria Investama Tbk,BMSR,2.88,10210852800.0
PT Prolestari Megapersada,BMSR,1.88,6674349600.0
PT. MNC ASIA HOLDING TBK,BMTR,34.32,722824856100.0
DRS LO KHENG HONG,BMTR,6.44,135589454500.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,BMTR,4.1,86259250900.0
PT MNC KAPITAL INDONESIA TBK,BMTR,2.03,42781575600.0
PT GLOBAL MEDIACOM TBK,BMTR,1.4,29398658500.0
WIDAYANTI DARMAWAN,BMTR,1.23,25937527500.0
RELIANCEVER HOLDINGS INC,BMTR,1.21,25551369649.0
LGT BANK AG,BMTR,1.12,23558754000.0
UOB KAY HIAN PRIVATE LIMITED,BNBR,8.47,1527244269720.0
DMS INVESTAMA PT,BNBR,3.6,649476534720.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,BNBR,1.71,309264837024.0
PT BIOFUEL INDO SUMATRA,BNBR,1.29,231964075200.0
BANGKOK BANK PUBLIC COMPANY LIMITED,BNLI,89.12,86738586254760.0
BARCLAYS CAPITAL SECURITIES LIMITED,BNLI,4.77,4644079397920.0
DRS SURONO SUBEKTI,BOBA,2.14,3960656000.0
"PACIFIC LIFE INSURANCE, PT",BOGA,4.93,264488364000.0
"CAPITAL LIFE INDONESIA, PT",BOGA,3.7,198528000000.0
"CAPITAL LIFE SYARIAH, PT",BOGA,3.52,188510655000.0
PT ZED UTAMA PERSADA,BOGA,3.18,170438403000.0
PT ARIMA KARYA PERSADA,BOGA,2.85,153105273000.0
PT BARA SEJAHTERA SUKSES,BOGA,2.72,146011563000.0
PT ASKAR PELANGI ABADI,BOGA,2.51,134866500000.0
PT. ALANA CIPTA SELARAS,BOGA,2.49,133676722260.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,BOGA,2.33,125005383000.0
EASTERN PEAK GROUP CORPORATION,BOGA,2.1,112800000000.0
PT.Pacific Indocorpora Indonesia,BOGA,2.04,109465350000.0
REKSA DANA SUCORINVEST EQUITY FUND,BOGA,1.87,100168092000.0
PT. CAPITAL ASSET MANAGEMENT,BOGA,1.67,89817000000.0
REKSA DANA CAPITAL EQUITY FUND,BOGA,1.25,66929739000.0
PT ASURANSI CENTRAL ASIA,BOLA,8.88,82082000000.0
PT ASURANSI JIWA CENTRAL ASIA RAYA,BOLA,6.4,59136000000.0
PT. INDOLIFE PENSIONTAMA,BOLA,4.9,45276000000.0
DBS BANK LTD.,BOLA,2.13,19668880000.0
UOB KAY HIAN PRIVATE LIMITED,BOLA,2.09,19273100000.0
MARUARAR SIRAIT,BOLA,1.91,17689133000.0
TERRA KONSUMA INVESTAMA,BOLA,1.11,10299304400.0
UOB KAY HIAN PRIVATE LIMITED,BOLT,5.92,122048168000.0
ZICO TRUST (S) LTD,BOLT,3.95,81400000000.0
REKSA DANA NARADA SAHAM INDONESIA,BOSS,1.6,1118400000.0
"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",BPFI,7.78,56189279880.0
UOB KAY HIAN PRIVATE LIMITED,BPFI,4.09,29518614000.0
PT. Victoria Investama Tbk,BPFI,1.04,7489665000.0
PT. BINTANG MITRA SEMESTARAYA TBK,BPFI,1.0,7226334000.0
