investor,stock,company,sector,pct,shares,value_idr,type,lf
LILI MULYADI SUTANTO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,3.12,84307692,48055384440.0,Individual,Local
PT ARDANA INVESTAMA INDONESIA,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,3.1,83819100,47776887000.0,Corporation,Local
PT PABRIK KERTAS NOREE INDONESIA,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,2.13,57587200,32824704000.0,Corporation,Local
IRENE SASTROAMIJOYO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,2.07,55990400,31914528000.0,Individual,Local
HERWANTO SUTANTO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,1.82,49230770,28061538900.0,Individual,Local
HERLAMBANG PUTRA SURJADI,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,1.72,46436720,26468930400.0,Individual,Local
WILLY SOESANTO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,1.69,45652702,26022040140.0,Individual,Local
SONNY KOESOEMAHARSONO,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,1.25,33702698,19210537860.0,Individual,Local
EDDY YUSUF,ALDO,ALKINDO NARATAMA Tbk,PULP & PAPER,1.06,28576712,16288725840.0,Individual,Local
PT. GRAHA ADIKA NIAGA,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,32.87,5202000000,3485340000000.0,Corporation,Local
SOLOMED CAPITAL PTE LTD,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,31.58,4998000000,3348660000000.0,Corporation,Foreign
BORNEO LOGISTICS SERVICES PTE. LTD.,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,11.02,1744000000,1168480000000.0,Corporation,Foreign
ABUNDANTIA FUND SPC,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,4.99,789281240,528818430800.0,Mutual Fund,Foreign
PINNACLEIQ INCORPORATED VCC SUB-FUND,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,4.84,765731600,513040172000.0,Mutual Fund,Foreign
EMINENCE GLOBAL FUND PCC,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,4.72,747227700,500642559000.0,Mutual Fund,Foreign
NALINKANT AMRATLAL RATHOD,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,2.23,352621500,236256405000.0,Individual,Foreign
ANINDITHA ANESTYA BAKRIE,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,1.95,308612450,206770341500.0,Individual,Local
PLENTITUDE FUND SPC,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,1.55,244958300,164122061000.0,Mutual Fund,Foreign
